UP.DAT          2.1             Hour Start and End Times with Seconds                           
   3
Produced by UAMAKE Version: 1.53  Level: 090411                                 
Last M3D File Processed: 201601.m3d
Extraction Cell:   41,  28
NONE    
UTC+0000
  2015  365   23    0 2016    4   23    0 300.    2    2
     F    F    F    F
   9999  12345       2015  12 31 24    0    2015  12 31 24    0   34      22                                                    
    543.0,5221.,272.5,228,  6.0,    531.0,5400.,271.0,221,  5.0,    519.0,5590.,269.3,233,  4.5,    506.0,5787.,268.1,260,  4.7,
    493.0,5992.,267.2,266,  5.5,    479.0,6209.,266.3,252,  6.0,    465.0,6443.,265.0,238,  6.0,    450.0,6707.,263.1,240,  5.5,
    432.0,7013.,260.5,263,  8.1,    412.0,7377.,258.4,271, 10.0,    389.0,7815.,255.8,274,  7.4,    362.0,8345.,251.1,328,  3.6,
    332.0,8985.,247.2,327,  4.9,    298.0,9758.,241.4,272, 10.4                                                                 
   9999  12345       2016   1  1  9    0    2016   1  1  9    0   34      22                                                    
    604.0,4368.,276.2,  2,  1.1,    600.0,4419.,276.3,295,  3.2,    595.0,4484.,276.2,291,  4.7,    590.0,4563.,276.0,288,  5.5,
    583.0,4658.,275.6,285,  5.3,    575.0,4772.,275.1,284,  4.7,    565.0,4904.,274.4,275,  4.6,    555.0,5055.,273.5,259,  5.6,
    543.0,5221.,272.3,245,  6.0,    531.0,5400.,271.0,232,  4.5,    519.0,5589.,269.2,233,  3.6,    506.0,5786.,267.7,255,  3.9,
    493.0,5991.,266.6,259,  4.7,    479.0,6207.,265.9,246,  5.3,    465.0,6442.,265.2,235,  5.2,    450.0,6706.,263.2,253,  5.8,
    432.0,7013.,260.5,275,  7.9,    412.0,7376.,258.0,282,  6.8,    389.0,7814.,255.0,282,  9.1,    362.0,8343.,251.5,277,  9.6,
    332.0,8983.,246.6,300,  5.7,    298.0,9754.,241.1,274, 11.9                                                                 
   9999  12345       2016   1  1 10    0    2016   1  1 10    0   34      22                                                    
    604.0,4367.,275.6,256,  0.7,    600.0,4419.,276.4,319,  1.7,    595.0,4484.,276.5,321,  2.8,    589.0,4563.,276.2,306,  3.6,
    583.0,4658.,275.9,290,  4.5,    574.0,4772.,275.6,279,  5.2,    565.0,4905.,274.8,270,  5.3,    555.0,5055.,273.7,259,  5.1,
